ID,friendID
325969137,233694
325969137,1566375
325969137,1881851
325969137,3123684
325969137,5419251
325969137,9871505
325969137,22324120
325969137,38196695
325969137,39616157
325969137,41439670
325969137,43524626
325969137,55682705
325969137,61677117
325969137,62340065
325969137,64330907
325969137,66943343
325969137,70239878
325969137,89845544
325969137,92017303
325969137,95882756
325969137,98756693
325969137,107736858
325969137,108345986
325969137,119403114
325969137,121140684
325969137,122059115
325969137,122101520
325969137,125901352
325969137,132814732
325969137,133895348
325969137,134645951
325969137,134713491
325969137,135168403
325969137,137058727
325969137,137162593
325969137,137964242
325969137,138481577
325969137,138773341
325969137,139172265
325969137,139668030
325969137,140918392
325969137,141100670
325969137,141390433
325969137,141589675
325969137,146218592
325969137,147918951
325969137,148861931
325969137,151235143
325969137,151484399
325969137,156479116
325969137,156515946
325969137,157624252
325969137,158683963
325969137,158955878
325969137,158998135
325969137,160640385
325969137,160864876
325969137,161193120
325969137,161311050
325969137,162591566
325969137,162937799
325969137,163214787
325969137,163658297
325969137,163909702
325969137,164568552
325969137,164669618
325969137,165363805
325969137,165690309
325969137,167026829
325969137,167397855
325969137,169714292
325969137,169970233
325969137,170296562
325969137,170420086
325969137,170620787
325969137,171227058
325969137,171805474
325969137,172233693
325969137,173438213
325969137,174332926
325969137,174346252
325969137,175165436
325969137,175779266
325969137,176435925
325969137,177952599
325969137,178374207
325969137,178542870
325969137,179849625
325969137,180393887
325969137,181477088
325969137,182117362
325969137,182647671
325969137,184070918
325969137,185076566
325969137,185443332
325969137,187170205
325969137,187646074
325969137,188200073
325969137,189081227
325969137,190251174
325969137,191771594
325969137,192342773
325969137,196583206
325969137,197194273
325969137,197862450
325969137,199350573
325969137,199649195
325969137,200259417
325969137,200453612
325969137,200723981
325969137,201299681
325969137,202167854
325969137,202470701
325969137,207577270
325969137,208240596
325969137,208443028
325969137,209745585
325969137,209827964
325969137,210803860
325969137,211844050
325969137,212288205
325969137,213486244
325969137,214045988
325969137,214593677
325969137,214788318
325969137,217586261
325969137,217832040
325969137,218287110
325969137,218310134
325969137,218359917
325969137,218494947
325969137,221374965
325969137,221738171
325969137,221902242
325969137,222323979
325969137,223081921
325969137,223947992
325969137,224675647
325969137,225563639
325969137,226176204
325969137,226260226
325969137,226818407
325969137,226972714
325969137,227132489
325969137,229993809
325969137,230322209
325969137,230667609
325969137,231110885
325969137,231811795
325969137,232936265
325969137,235019150
325969137,236080986
325969137,236812171
325969137,237030156
325969137,237228793
325969137,238529511
325969137,241935819
325969137,244908326
325969137,244910553
325969137,245758200
325969137,246722357
325969137,247773439
325969137,251305195
325969137,251815831
325969137,252270782
325969137,252647659
325969137,254936242
325969137,255865767
325969137,256662082
325969137,256801640
325969137,260124311
325969137,264551768
325969137,265699031
325969137,266144504
325969137,267001829
325969137,268694514
325969137,269005344
325969137,271915756
325969137,272050821
325969137,274066644
325969137,276663283
325969137,277826957
325969137,278258674
325969137,278612909
325969137,279653740
325969137,282281773
325969137,283321516
325969137,284220556
325969137,284257934
325969137,287442713
325969137,289343445
325969137,292244852
325969137,294655346
325969137,294926036
325969137,297667570
325969137,297774137
325969137,298843991
325969137,303332287
325969137,304449865
